,Date,GameID,Season,M/F,Team1,Team2,Score1,Score2,Player1Team1,Player2Team1,Player3Team1,Player4Team1,Player5Team1,Player6Team1,Player7Team1,Player8Team1,Player9Team1,Player10Team1,Player11Team1,Player12Team1,Player13Team1,Player14Team1Player1Team2,Player2Team2,Player3Team2,Player4Team2,Player5Team2,Player6Team2,Player7Team2,Player8Team2,Player9Team2,Player10Team2,Player11Team2,Player12Team2,Player13Team2,Player14Team2,Player14Team1,Player1Team2
211,2021/02/17,,2020/2021,F,USC Münster,SSC Palmberg Schwerin,3,1,Bock Linda,Nelson Taylor Kaera,Brinkmann Anika,Kastrup Liza,Korevaar Demi Johanna Marijke,Lambert Adeja,Barber Nele,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Kildau Erika,-,-,,Stoltenborg Femke,Jatzko Romy,Nestler Patricia,Agost Taylor,Alsmeier Lina,Oude Luttikhuis Nicole,Spelman Hayley,Barfield Lauren,Imoudu Denise,Schölzel Marie,Ambrosius Lea,-,-,-,Szakmáry Greta
212,2020/25/02,1105.0,2020/2021,M,SWD powervolleys DÜREN,BERLIN RECYCLING Volleys,2,3,Batanov Ivan,Broshog Tim,Schumann Philipp,Andrae Björn,Bogachev Egor,Brand Tobias,Andrei Michael,Burggräf Eric,Gevert Sebastián,-,-,-,-,,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Le Goff Nicolas,-,-,-,-,Kowalski Adam
213,2021/01/16,1216.0,2020/2021,M,VCO Berlin,BERLIN RECYCLING Volleys,0,3,Eckardt Moritz,Hosch Tobias,Frohberg Marco,Möller Onno,Röhrs Erik,John Filip,Lind Jonas,Hüther Franz,Schulz Max,Kvrzic Milan,Reusch Johann,Breburda Jan,-,,Moraes Davy,Kühner Sebastian,Michelucci Renan,Grankin Sergey,Brehme Anton,Carle Timothée,Kessel Cody,Kaliberda Denys,Carbonera Éder,Pujol Pierre,-,-,-,-,Kowalski Adam
214,2020/11/28,1028.0,2020/2021,M,Helios GRIZZLYS Giesen,VfB Friedrichshafen,0,3,Eshenko Pearson,Krüger Merten,van Tilburg Stijn,Wagner Hauke,Menner Anton,Mayaula Nzeza Magloire,Seybering David,Röling Jan,Hopt Jannis,Schippmann Timon,Kern Jacob,-,-,,Aylsworth Avery,Mote Nehemiah,Lopez Tomas,Juhkami Martti,Balean Rares,van de Velde Arno,Vincic Dejan,Bonin Ben-Simon,Böhme Marcus,Weber Linus,Maase Lukas,Fiel Rodriguez David,Marechal Nicolas,-,Worsley Joseph
215,2021/01/14,2062.0,2020/2021,F,SSC Palmberg Schwerin,Allianz MTV Stuttgart,0,3,Szakmáry Greta,Stoltenborg Femke,Jatzko Romy,Pogany Anna,Nestler Patricia,Agost Taylor,Alsmeier Lina,Oude Luttikhuis Nicole,Spelman Hayley,Barfield Lauren,Imoudu Denise,Schölzel Marie,-,,Segura Palleres Maria,Lohuis Juliët,Jasper Hester,Grozer Dora,Rosenthal Jenna,Kästner Pia,Große Scharmann Lena,Papafotiou Athina,Rivers Krystal,Berger Lara,Mlejnkova Michaela,Todorova Mira,-,-,Koskelo Roosa
216,2020/03/01,1081.0,2019/2020,M,WWK Volleys Herrsching,Netzhoppers KW-Bestensee,3,2,Filho Roosewelt,Sagstetter Jonas,Watanabe Shunsuke,Krüger Merten,Halanda Tomas,Peemüller Richard,Prokopczuk Rafal,Jurkovics Mathäus,Hamzagic Irfan,-,-,-,-,,Jalowietzki Jan,Scholten Iris,Ofoha Uchenna,Klooss Adrian Lennart,Westphal Dirk,Just Maximilian,Ratajczak Kamil,Timmermann Theo,Lambert Adeja,Guerra Uteau Simön,-,-,-,-,Herr Luke Thomas A.
217,2021/01/23,2092.0,2020/2021,F,Dresdner SC,NawaRo Straubing,3,0,Dürr Lenka,Cyris Emma,Janiska Jennifer,Stigrot Lena,Storck Maja,Crittenden Naya,Linke Lena,Gray Jenna,Lieb Lina-Marie,Gates Madeleine,Weitzel Camilla,-,-,,Oiwoh Noemi Laureen,Ismaili Valbona,Norveel Kjersti,Kettenbach Elisabeth,Hölzig Annegret,Schweigmann Janna,Hänle Marie,Dreblow Sophie,Scholten Iris,Gryka Magdalena,-,-,-,-,Provaroni Claudia
218,2020/03/10,2073.0,2019/2020,F,SSC Palmberg Schwerin,VfB Suhl LOTTO Thüringen,3,0,Szakmáry Greta,Barber Nele,Lohmann Elisa,Pogany Anna,Wong-Orantes Justine,Bongaerts Britt,Drewniok Kimberly,Oude Luttikhuis Nicole,Hanke Denise,Dumancic Beta,Barfield Lauren,Adams Mckenzie,Schölzel Marie,,Jasper Hester,Tauchert Sophie,Siebring Anniek,Watson Karis Elizabeth,Steger Claudia,Jatzko Romy,Agost Taylor,Ciganikova Simona,-,-,-,-,-,-,Patockova Tereza
219,2019/11/30,1051.0,2019/2020,M,BERLIN RECYCLING Volleys,Volleyball Bisons Bühl,3,0,Kowalski Adam,Ensing Kyle,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Le Goff Nicolas,-,,Stöhr Tim,Thiel Stefan,Goralik Yannick,Maase Lukas,Vaskelis Edvinas,Petty Gregory,Roatta Sebastian,Lohmann Elisa,Schmidgall Mario,Qafarena Anton,Malcher Moritz,-,-,-,Szabó Alpár
220,2020/26/02,2113.0,2020/2021,F,VC Wiesbaden,Rote Raben Vilsbiburg,1,3,Oud Nynke,Großer Tanja,Wilczek Natalie,Hetmann Selma Theresa,Vyklická Klara,Hirsch Jana,Neuhaus Frauke,Wesser Julia,Dugan Shannon,Vedder Lena,Bjerland Renate,Fach Chiara,-,,Nagy Eszter,Möller Onno,Glaab Corina,Scholten Iris,Valdez Pol Nelmaira Carol,Schoot Myrthe Mathilde,Bock Josepha,Ortiz Ruiz Neira Marina,Hötschl Paula,Taylor Nikki Leialoha,Guilliams Jodie,Busch Amelie,Hernandez Ramos Alba R,-,Przybylak Daria
221,2019/26/10,2019.0,2019/2020,F,VfB Suhl LOTTO Thüringen,Dresdner SC,1,3,Patockova Tereza,Jasper Hester,Tauchert Sophie,Siebring Anniek,Watson Karis Elizabeth,Steger Claudia,Jacobson McKenzie,Michel Tosi Victoria,Valkova Katerina,Agost Taylor,-,-,-,,Cyris Emma,Rolfzen Kadie,de Zwart Laura,Strubbe Monique,Keller Luisa,Stigrot Lena,Kapur Milorad,Kästner Pia,Radosova Nikola,Mrdak Ivana,King Brie Joy,Weitzel Camilla,Straube Sarah,-,Dürr Lenka
222,2020/12/27,2067.0,2020/2021,F,Dresdner SC,SC Potsdam,3,0,Dürr Lenka,Cyris Emma,Janiska Jennifer,Stöckmann Sina,Strubbe Monique,Hentz Morgan,Stigrot Lena,Storck Maja,Crittenden Naya,Gray Jenna,Lieb Lina-Marie,Gates Madeleine,Weitzel Camilla,,Wilczek Natalie,Abercrombie Brittany,Stautz Antonia,Speech Symone,Ruddins Lindsey,Straube Sarah,Erzen Darja,Veltman Kelsey,Jegdic Aleksandra,Flory Lindsay,Emonts Laura,Takagui Ana Tiemi,-,-,Agbortabi Vanessa
223,2019/05/11,1023.0,Off-Season,M,VfB Friedrichshafen,United Volleys Frankfurt,3,1,Worsley Joseph,Kocian Tomas,Späth-Westerholt Thilo,Mote Nehemiah,Menner Anton,Balean Rares,Janouch Jakub,Juhkami Martti,Malescha Daniel,Günthör Jakob,Steuerwald Markus,Gjorgiev Nikola,-,,Bann Blair,van Rekom Floris,Henning Paul,Engelmann Linus,Yanagida Masahiro,Mrdak Milija,Bierwisch Ben,Brand Tobias,Luther Doreen,Schumann Philipp,Wolf Peter,Smith Luke,Valkiers Matthias,-,Toman Urban
224,2020/01/18,1077.0,2019/2020,M,SVG Lüneburg,SVG Lüneburg,3,1,Koslowsky Tyler,van Solkema Gijs,Ronkainen Antti,Dervisaj Leon,Lindberg Viktor,Pörner Jannik,Brehme Anton,Scheerhoorn Blake,Krage Florian,Michelau Michael,Schlien Michel,-,-,,Petter Michelle,Dervisaj Leon,Nagel Friederich,Mönnich Johannes,Barfield Lauren,Grozer Tim,Takagui Ana Tiemi,Weir James,Tille Johannes,Apfelbach Karl,Hopt Jannis,-,-,-,Jarvis Jared
225,2021/01/16,2085.0,2020/2021,F,NawaRo Straubing,Rote Raben Vilsbiburg,0,3,Provaroni Claudia,Oiwoh Noemi Laureen,Ismaili Valbona,Norveel Kjersti,Kettenbach Elisabeth,Hölzig Annegret,Szaboova Sandra,Schweigmann Janna,Hänle Marie,Dreblow Sophie,Scholten Iris,-,-,,Keller Luisa,Brisebois Danielle,Hartl Lena,Glaab Corina,Schoot Myrthe Mathilde,Bock Josepha,Conaway Alexis,Haneline Kayla,Taylor Nikki Leialoha,Guilliams Jodie,White Jazmine,Hart Alexis,-,-,Dammer Simona
